,formula,k_expt,k-units,k_condition,k_condition_units
734,Mg2Si0.6Ge0.4Bi0.02,1.73,W/m$\cdot$K,1000,K
735,Fe1.96Sn0.04O3,3.08,W/m$\cdot$K,1000,K
736,Ca2.7Na0.3Co4O9,2.0,W/m$\cdot$K,300,K
737,In0.2Co4Sb12,1.9414,W/m$\cdot$K,700,K
738,Tl0.02Pb0.98Te,1.6559400000000002,W/m$\cdot$K,400,K
739,In0.15Co4Sb12,2.29861,W/m$\cdot$K,300,K
740,Ba0.4Sr0.6PbO3,2.13295,W/m$\cdot$K,400,K
741,In0.1Co4Sb12,1.90897,W/m$\cdot$K,400,K
742,Pb0.97Sr0.02TeNa0.01,1.03,W/m$\cdot$K,700,K
743,CaMnO3,2.9898,W/m$\cdot$K,300,K
744,Si0.79936Ge0.19984B0.0008,4.33976,W/m$\cdot$K,300,K
745,CoSb3,13.0,W/mK,Standard,"[{'name': 'Temperature', 'scalars': [{'value': 'Standard'}]}, {'name': 'Pressure', 'scalars': [{'value': 'Standard'}]}]"
746,Bi2Te3,2.0,W/mK,Standard,"[{'name': 'Temperature', 'scalars': [{'value': 'Standard'}]}, {'name': 'Pressure', 'scalars': [{'value': 'Standard'}]}]"
747,PbTe,1.91,W/mK,Standard,"[{'name': 'Temperature', 'scalars': [{'value': 'Standard'}]}, {'name': 'Pressure', 'scalars': [{'value': 'Standard'}]}]"
748,SiGe,7.1,W/mK,Standard,"[{'name': 'Temperature', 'scalars': [{'value': 'Standard'}]}, {'name': 'Pressure', 'scalars': [{'value': 'Standard'}]}]"
749,BiSbTe3,0.5,W/mK,Standard,"[{'name': 'Temperature', 'scalars': [{'value': 'Standard'}]}, {'name': 'Pressure', 'scalars': [{'value': 'Standard'}]}]"
750,CeFe4Sb12,15.0,W/mK,Standard,"[{'name': 'Temperature', 'scalars': [{'value': 'Standard'}]}, {'name': 'Pressure', 'scalars': [{'value': 'Standard'}]}]"
751,Sb2Te3,0.75,W/mK,Standard,"[{'name': 'Temperature', 'scalars': [{'value': 'Standard'}]}, {'name': 'Pressure', 'scalars': [{'value': 'Standard'}]}]"
752,Yb14MnSb11,1.1,W/mK,Standard,"[{'name': 'Temperature', 'scalars': [{'value': 'Standard'}]}, {'name': 'Pressure', 'scalars': [{'value': 'Standard'}]}]"
753,TiO2,0.44,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
754,TiO2,0.38,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
755,TiO2,0.53,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
756,TiO2,0.34,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
757,TiO2,1.11,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
758,TiO2,0.38,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
759,TiO2,0.59,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
760,TiO2,1.29,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
761,TiO2,1.05,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
762,TiO2,1.26,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
763,TiO2,1.05,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
764,TiO2,0.46,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
765,TiO2,0.32,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
766,TiO2,1.21,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
767,TiO2,0.39,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
768,TiO2,2.54,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
769,TiO2,0.38,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
770,TiO2,1.02,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
771,TiO2,0.39,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
772,TiO2,0.87,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
773,TiO2,0.29,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
774,TiO2,0.48,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
775,CaO,15.0,Wm$^{-1}$K$^{-1}$,373,K
776,SiO2,1.6,Wm$^{-1}$K$^{-1}$,298,K
777,C,108.0,Wm$^{-1}$K$^{-1}$,298,K
778,MgAl2O4,16.0,Wm$^{-1}$K$^{-1}$,298,K
779,AlN,36.0,Wm$^{-1}$K$^{-1}$,298,K
780,TiB2,70.0,Wm$^{-1}$K$^{-1}$,373,K
781,B4C,30.0,Wm$^{-1}$K$^{-1}$,298,K
782,ZrB2,73.0,Wm$^{-1}$K$^{-1}$,373,K
783,Si3N4,30.0,Wm$^{-1}$K$^{-1}$,298,K
784,ZrSiO4,8.0,Wm$^{-1}$K$^{-1}$,298,K
785,TiO2,9.2,Wm$^{-1}$K$^{-1}$,373,K
786,TiC,30.0,Wm$^{-1}$K$^{-1}$,298,K
787,WC,40.0,Wm$^{-1}$K$^{-1}$,298,K
788,TiN,25.0,Wm$^{-1}$K$^{-1}$,373,K
789,BeO,300.0,Wm$^{-1}$K$^{-1}$,298,K
790,U2O,12.0,Wm$^{-1}$K$^{-1}$,298,K
791,Si,150.0,Wm$^{-1}$K$^{-1}$,298,K
792,ZrC,31.0,Wm$^{-1}$K$^{-1}$,773,K
793,Al6Si2O13,6.0,Wm$^{-1}$K$^{-1}$,373,K
794,SiC,110.0,Wm$^{-1}$K$^{-1}$,298,K
795,SiO2,6.5,Wm$^{-1}$K$^{-1}$,298,K
796,SiO2,11.0,Wm$^{-1}$K$^{-1}$,298,K
797,Al2O3,38.0,Wm$^{-1}$K$^{-1}$,298,K
798,ZrO2,1.8,Wm$^{-1}$K$^{-1}$,298,K
799,ThO2,14.0,Wm$^{-1}$K$^{-1}$,298,K
800,MgO,40.0,Wm$^{-1}$K$^{-1}$,298,K
801,CaO,8.7,Wm$^{-1}$K$^{-1}$,773,K
802,SiO2,1.7,Wm$^{-1}$K$^{-1}$,373,K
803,C,107.0,Wm$^{-1}$K$^{-1}$,373,K
804,MgAl2O4,15.0,Wm$^{-1}$K$^{-1}$,373,K
805,AlN,33.0,Wm$^{-1}$K$^{-1}$,373,K
806,TiB2,64.0,Wm$^{-1}$K$^{-1}$,773,K
807,B4C,25.0,Wm$^{-1}$K$^{-1}$,373,K
808,ZrB2,67.0,Wm$^{-1}$K$^{-1}$,773,K
809,Si3N4,28.0,Wm$^{-1}$K$^{-1}$,373,K
810,ZrSiO4,5.8,Wm$^{-1}$K$^{-1}$,373,K
811,TiO2,4.5,Wm$^{-1}$K$^{-1}$,773,K
812,TiC,32.0,Wm$^{-1}$K$^{-1}$,373,K
813,WC,45.0,Wm$^{-1}$K$^{-1}$,1273,K
814,TiN,27.0,Wm$^{-1}$K$^{-1}$,773,K
815,BeO,220.0,Wm$^{-1}$K$^{-1}$,373,K
816,U2O,8.0,Wm$^{-1}$K$^{-1}$,373,K
817,Si,110.0,Wm$^{-1}$K$^{-1}$,373,K
818,ZrC,35.0,Wm$^{-1}$K$^{-1}$,1273,K
819,Al6Si2O13,4.5,Wm$^{-1}$K$^{-1}$,773,K
820,SiC,90.0,Wm$^{-1}$K$^{-1}$,373,K
821,SiO2,5.0,Wm$^{-1}$K$^{-1}$,373,K
822,SiO2,8.3,Wm$^{-1}$K$^{-1}$,373,K
823,Al2O3,35.0,Wm$^{-1}$K$^{-1}$,373,K
824,ZrO2,1.8,Wm$^{-1}$K$^{-1}$,373,K
825,ThO2,12.0,Wm$^{-1}$K$^{-1}$,373,K
826,MgO,35.0,Wm$^{-1}$K$^{-1}$,373,K
827,CaO,7.8,Wm$^{-1}$K$^{-1}$,1273,K
828,SiO2,2.1,Wm$^{-1}$K$^{-1}$,773,K
829,C,76.0,Wm$^{-1}$K$^{-1}$,773,K
830,MgAl2O4,9.0,Wm$^{-1}$K$^{-1}$,773,K
831,AlN,23.0,Wm$^{-1}$K$^{-1}$,773,K
832,B4C,21.0,Wm$^{-1}$K$^{-1}$,773,K
833,Si3N4,21.0,Wm$^{-1}$K$^{-1}$,773,K
834,ZrSiO4,4.8,Wm$^{-1}$K$^{-1}$,773,K
835,TiO2,3.3,Wm$^{-1}$K$^{-1}$,1273,K
836,TiC,36.0,Wm$^{-1}$K$^{-1}$,773,K
837,WC,50.0,Wm$^{-1}$K$^{-1}$,1773,K
838,BeO,70.0,Wm$^{-1}$K$^{-1}$,773,K
839,U2O,4.5,Wm$^{-1}$K$^{-1}$,773,K
840,Si,45.0,Wm$^{-1}$K$^{-1}$,773,K
841,Al6Si2O13,4.0,Wm$^{-1}$K$^{-1}$,1273,K
842,SiC,65.0,Wm$^{-1}$K$^{-1}$,773,K
843,SiO2,3.6,Wm$^{-1}$K$^{-1}$,773,K
844,SiO2,5.0,Wm$^{-1}$K$^{-1}$,773,K
845,Al2O3,11.0,Wm$^{-1}$K$^{-1}$,773,K
846,ZrO2,2.0,Wm$^{-1}$K$^{-1}$,773,K
847,ThO2,6.0,Wm$^{-1}$K$^{-1}$,773,K
848,MgO,16.0,Wm$^{-1}$K$^{-1}$,773,K
849,SiO2,5.0,Wm$^{-1}$K$^{-1}$,1273,K
850,MgAl2O4,6.0,Wm$^{-1}$K$^{-1}$,1273,K
851,B4C,71.0,Wm$^{-1}$K$^{-1}$,1273,K
852,Si3N4,14.5,Wm$^{-1}$K$^{-1}$,1273,K
853,ZrSiO4,4.2,Wm$^{-1}$K$^{-1}$,1273,K
854,TiC,40.0,Wm$^{-1}$K$^{-1}$,1273,K
855,BeO,18.0,Wm$^{-1}$K$^{-1}$,1273,K
856,U2O,3.2,Wm$^{-1}$K$^{-1}$,1273,K
857,Si,26.0,Wm$^{-1}$K$^{-1}$,1273,K
858,SiC,45.0,Wm$^{-1}$K$^{-1}$,1273,K
859,Al2O3,7.0,Wm$^{-1}$K$^{-1}$,1273,K
860,ZrO2,2.2,Wm$^{-1}$K$^{-1}$,1273,K
861,ThO2,2.0,Wm$^{-1}$K$^{-1}$,1273,K
862,MgO,7.0,Wm$^{-1}$K$^{-1}$,1273,K
863,B4C,15.0,Wm$^{-1}$K$^{-1}$,1773,K
864,Si3N4,13.0,Wm$^{-1}$K$^{-1}$,1773,K
865,TiC,45.0,Wm$^{-1}$K$^{-1}$,1773,K
866,BeO,14.0,Wm$^{-1}$K$^{-1}$,1773,K
867,SiC,40.0,Wm$^{-1}$K$^{-1}$,1773,K
868,Al2O3,6.0,Wm$^{-1}$K$^{-1}$,1773,K
869,ZrO2,2.4,Wm$^{-1}$K$^{-1}$,1773,K
870,ThO2,2.0,Wm$^{-1}$K$^{-1}$,1773,K
871,MgO,6.5,Wm$^{-1}$K$^{-1}$,1773,K
