,composition,crystallinity,synthesis,spacegroup,rho (ohm.cm),S [muV/K],PF [W/mK^2],zT,kappa [W/mK],sigma [S/cm],T [K],src
284,Si0.8Ge0.2,Polycrystalline,"Ball milling, hot-pressed nanopowders",227.0,0.002484145,231.64,0.0021601,0.845526008,2.55469,402.55,1000.0,http://dx.doi.org/10.1021/nl8026795
285,CaYb0.15Mn0.85O3,Polycrystalline,Solid state reaction,62.0,0.00595672,-101.05,0.00017142,0.101172463,1.69435,167.88,1000.0,http://dx.doi.org/10.1109/ICT.2006.331291
286,Ca2.4Na0.3Bi0.3Co4O9,Polycrystalline,"Solid state reaction, air",12.0,0.008503,173.0,0.00035198,0.136881754,1.8,117.61,700.0,http://dx.doi.org/10.1063/1.1480115
287,TlCr5Se8,Polycrystalline,Solid state reaction,12.0,0.02,295.0,0.00043513,,,50.0,700.0,Personal communication
288,Ti0.98Nb0.02NiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.000907836,-188.543,0.0039157,0.539039134,5.085,1101.5,700.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
289,LaNiO3,Polycrystalline,"Evaporate nitrates (1173 K, air)",167.0,0.00621929,-27.03,1.1747e-05,,,160.79,1000.0,http://dx.doi.org/10.1557/PROC-793-S3.3
290,CaMnO3,Polycrystalline,Solid state reaction,62.0,2.925074959,-549.12,1.0309e-05,0.001247231,3.30607,0.34187,400.0,http://dx.doi.org/10.1016/j.jallcom.2009.08.012
291,Zn0.98Al0.02O,Polycrystalline,"Solid state reaction, air",186.0,0.001479108,-171.48,0.001988,0.112228538,12.4,548.11,700.0,http://dx.doi.org/10.1039/A602506D
292,La1.69Sr0.31Cu0.94Ti0.06O4,Polycrystalline,Solid state reaction,139.0,0.0035,5.0,7.1429e-07,,,285.71,300.0,http://dx.doi.org/10.1016/j.ssc.2012.03.013
293,Ca0.9Ho0.1MnO3,Polycrystalline,Solid state reaction,62.0,0.00981132,-123.85,0.00015633,0.050077248,2.18525,101.92,700.0,http://dx.doi.org/10.1063/1.2362922
294,Ca2Co2O5,Single crystal,Melted,12.0,0.00146827,135.09,0.0012429,0.162121393,2.3,681.07,300.0,http://dx.doi.org/10.1143/JJAP.39.L1127
295,Zr0.95Nb0.05NiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.000586514,-150.706,0.0038724,0.620411774,6.2417,1705.0,1000.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
296,Ca2.94Na0.06AlSb3,Polycrystalline,"Solid state reaction, Ar",62.0,0.0589,81.5,1.1277e-05,0.002050394,1.65,16.978,300.0,http://dx.doi.org/10.1039/c0ee00517g
297,Nd2CuO4,Polycrystalline,"Solid state reaction, air",139.0,2.16164,-618.43,1.7693e-05,0.000516571,13.7,0.46261,400.0,http://dx.doi.org/10.1002/chin.200318015
298,Sr2Ti0.8Nb0.2O4,Polycrystalline,"Solid state reaction, Ar",221.0,0.004761905,-53.6,6.0332e-05,0.004141796,4.37,210.0,300.0,http://dx.doi.org/10.1063/1.3117943
299,CaYb0.1Mn0.9O3,Polycrystalline,Solid state reaction,62.0,0.0043831,-60.084,8.2364e-05,0.020104787,1.63869,228.15,400.0,http://dx.doi.org/10.1109/ICT.2006.331291
300,Zn4Sb3,Polycrystalline,"Solid state reaction, Ar",167.0,0.00230891,122.133,0.00064604,0.251703686,0.77,433.1,300.0,http://dx.doi.org/10.1039/c0jm02011g
301,Zn0.97Al0.015Ti0.015O,Polycrystalline,"Solid state reaction, air",186.0,0.014455316,-205.305,0.00029159,,,69.179,1000.0,http://dx.doi.org/10.1016/j.jeurceramsoc.2006.04.012
302,CaMnO3,Polycrystalline,Solid state reaction,62.0,2.417491884,-470.65,9.1629e-06,,,0.41365,700.0,http://www.jmst.org/EN/Y2009/V25/I04/0535
303,CeFe3.5Co0.5Sb13,Polycrystalline,Combination of melting and powder metallurgy techniques,204.0,0.000971,107.0,0.0011791,0.198167011,2.38,1029.9,400.0,http://dx.doi.org/10.1109/ICT.1996.553263
304,Li0.0242Ni0.9758O,Polycrystalline,Solid state reaction,225.0,0.003874392,79.49,0.00016311,0.063968983,2.54979,258.11,1000.0,http://dx.doi.org/10.1143/JJAP.38.L1336
305,NbCo1.05Sn,Single crystal,Floating zone melting,216.0,0.00137411,-163.441,0.001944,0.084685557,6.88672,727.74,300.0,http://dx.doi.org/10.1063/1.2828713
306,Cu1.98Se,Polycrystalline,"Melted, vacuum",225.0,0.000719,64.2,0.00057325,0.132542468,1.73,1390.8,400.0,http://dx.doi.org/10.1038/nmat3278
307,Ca2.7Bi0.3Co4O9,Polycrystalline,"Solid state reaction, air",12.0,0.01035,135.4,0.00017713,0.026569797,2.0,96.618,300.0,http://dx.doi.org/10.1063/1.1480115
308,Zr0.35Hf0.35Ti0.3NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.00555251,-379.426,0.0025928,0.365565734,2.837,180.1,400.0,http://dx.doi.org/10.1063/1.1868063
309,Sm0.5Ca0.5MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.00955255,-32.5663,1.1102e-05,0.001753013,1.9,104.68,300.0,http://dx.doi.org/10.1103/PhysRevB.60.14057
310,Nd1.4Bi0.6Ru2O7,Polycrystalline,Solid state reaction,227.0,0.00192802,32.45,5.4631e-05,,,518.67,700.0,http://dx.doi.org/10.1016/S0167-577X(01)00317-2
311,CaMn6CuO12,Polycrystalline,"Solid state reaction, air",194.0,0.0326349,-27.3305,2.2888e-06,,,30.642,700.0,http://dx.doi.org/10.1063/1.1687532
312,La0.3Ca2.7Co4O9,Polycrystalline,"Sol-gel, air",12.0,0.059608255,59.7107,5.9813e-06,,,16.776,300.0,http://dx.doi.org/10.1016/S0038-1098(02)00555-0
313,CeFeCo3Sb12,Polycrystalline,"Melted, vacuum",204.0,0.00448351,-138.009,0.00042481,,,223.04,1000.0,http://www.jstor.org/stable/2889796
314,La0.99Sr0.01CoO3,Polycrystalline,Solid state reaction,15.0,0.15703628,395.0,9.9356e-05,0.016495189,1.807,6.368,300.0,http://dx.doi.org/10.1016/j.jssc.2008.08.078
315,WO2.722,Polycrystalline,Spark plasma sintering,10.0,0.00020161,-27.03,0.00036245,0.036878464,6.8797,4960.1,700.0,Personal communication
316,Zn0.9925Al0.0075O,Polycrystalline,"Solid state reaction, vacuum",186.0,0.0111002,-154.543,0.00021516,,,90.088,700.0,http://dx.doi.org/10.1007/s11664-009-0815-2
317,In2O3,Polycrystalline,Solid state reaction,206.0,0.0135192,-156.078,0.00018019,0.005590487,9.6695,73.969,300.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
318,Yb14MnSb11,Single crystal,"Flux (Sn), Ar",142.0,0.0034632,117.242,0.00039691,0.340484029,0.816,288.75,700.0,http://dx.doi.org/10.1021/cm060261t
319,Ca0.9Nd0.1MnO3,Polycrystalline,Solid state reaction,62.0,0.0213208,-130.04,7.9308e-05,0.03329024,2.38232,46.903,1000.0,http://dx.doi.org/10.1063/1.2362922
320,Ag9TlTe5,Polycrystalline,Melted,167.0,0.0264,311.0,0.00036637,1.282285985,0.2,37.879,700.0,http://dx.doi.org/10.1063/1.2009828
321,Na0.02Pb0.98Te0.85Se0.15,Polycrystalline,Melted,225.0,0.00160579,209.05,0.0027215,1.502553777,1.26786,622.75,700.0,http://dx.doi.org/10.1038/nature09996
322,CaYb0.15Mn0.85O3,Polycrystalline,Solid state reaction,62.0,0.00336145,-38.2353,4.3491e-05,0.007932122,1.64488,297.49,300.0,http://dx.doi.org/10.1109/ICT.2006.331291
323,Ca0.96Sm0.04MnO3,Polycrystalline,Co-precipitation,62.0,0.00825459,-169.85,0.0003495,,,121.14,700.0,http://dx.doi.org/10.1109/ICT.2007.4569450
324,CuCr0.97Mg0.03O2,Polycrystalline,"Solid state reaction, air",166.0,0.069316,241.278,8.3985e-05,0.005199749,6.4607,14.427,400.0,http://dx.doi.org/10.1109/ICT.2006.331288
325,In1.8Ge0.2O3,Polycrystalline,Solid state reaction,206.0,0.00287298,-52.3343,9.5332e-05,0.008831211,3.23848,348.07,300.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
326,Mo6Te6S2,Polycrystalline,"Solid state reaction, vacuum",148.0,0.000857,6.30124,4.6331e-06,0.000654096,2.12496,1166.9,300.0,http://dx.doi.org/10.1016/S0925-8388(02)01002-2
327,CuFe0.9Cr0.1O2,Polycrystalline,Solid state reaction,166.0,0.0532197,324.917,0.00019837,,,18.79,1000.0,http://dx.doi.org/10.1007/s11664-009-0815-2
328,La0.98Sr0.02CoO3,Polycrystalline,Solid state reaction,15.0,0.001096478,28.76,7.5436e-05,,,912.01,700.0,http://dx.doi.org/10.1016/j.jssc.2008.08.078
329,Ba8Ga16Ge30,Single crystal,"Czochralski method, He",223.0,0.00066,-42.79,0.00027738,0.04894993,1.7,1515.2,300.0,http://dx.doi.org/10.1103/PhysRevB.77.075203
330,In0.2Co4Sb12,Polycrystalline,Solid state reaction,204.0,0.00159808,-247.54,0.0038343,1.385962072,1.93658,625.75,700.0,http://dx.doi.org/10.1557/jmr.2011.163
331,La0.8Sr0.2CoO3,Polycrystalline,Solid state reaction,15.0,0.000446684,17.6,6.9347e-05,,,2238.7,400.0,http://dx.doi.org/10.1016/j.jssc.2008.08.078
332,Bi88Sb12,Polycrystalline,"Melted, vacuum",166.0,0.000172072,-85.3,0.0042277,,,5811.5,300.0,http://dx.doi.org/10.1016/j.jpcs.2004.01.010
333,CaYb0.4Mn0.6O3,Polycrystalline,Solid state reaction,62.0,0.0110794,-25.4902,5.8645e-06,,,90.258,1000.0,http://dx.doi.org/10.1109/ICT.2006.331291
334,Ca0.7Y0.3MnO3,Polycrystalline,Solid state reaction,62.0,0.00762653,-41.61,2.2698e-05,0.00379719,1.793253904,131.12,300.0,http://dx.doi.org/10.1016/0022-4596(91)90248-G
335,CuCr0.98Mg0.02O2,Polycrystalline,"Solid state reaction, air",166.0,0.265082,367.981,5.1082e-05,0.006125187,5.8378,3.7724,700.0,http://dx.doi.org/10.1109/ICT.2006.331288
336,Zn0.995Al0.005O,Polycrystalline,"Solid state reaction, air",186.0,0.008709636,-231.536,0.00061551,0.074607606,8.25,99.63,1000.0,http://dx.doi.org/10.1039/A602506D
337,Zr0.25Hf0.25Ti0.5NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.00494914,-303.567,0.001862,,,202.06,300.0,http://dx.doi.org/10.1016/j.jallcom.2004.05.078
338,Ba8Ga18Ge28,Polycrystalline,Arc melting,223.0,0.007418,-219.0,0.00064655,0.411440231,1.1,134.81,700.0,http://dx.doi.org/10.1109/ICT.2002.1190269
339,Sr0.61Ba0.39Nb2O6,Polycrystalline,"Templated grain growth, air, anneal P(O2) = 10$^{-14}$",100.0,0.016225864,-220.0,0.00029829,0.059052551,2.0205,61.63,400.0,http://dx.doi.org/10.1557/jmr.2010.78
340,Li0.0066Ni0.9944O,Polycrystalline,Solid state reaction,225.0,0.031620853,200.39,0.00012699,0.014790072,6.0105,31.625,700.0,http://dx.doi.org/10.1143/JJAP.38.L1336
341,Ca0.9Bi0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.004997002,-119.707,0.00028677,0.090646689,2.2145,200.12,700.0,http://dx.doi.org/10.1006/jssc.1995.1384
342,Sb2Te3,Single crystal,Melted,166.0,0.000122,63.0,0.0032533,0.1875,5.205245902,8196.7,300.0,http://dx.doi.org/10.1201/9781420049718.ch19
343,Ca0.98Bi0.02Mn0.98Nb0.02O3,Polycrystalline,Solid state reaction,62.0,0.02032591,-100.04,4.9234e-05,0.005877928,2.51281,49.198,300.0,http://dx.doi.org/10.1016/j.jallcom.2009.08.012
344,La1.85Sr0.15CuO4,Polycrystalline,Solid state reaction (O2 atmosphere),139.0,0.00112686,25.0,5.5464e-05,,,887.42,300.0,http://dx.doi.org/10.1103/PhysRevLett.69.2975
345,LiMn2O4,Polycrystalline,"Solid state reaction, air",227.0,74.0928,-45.9919,2.8549e-09,,,0.013497,400.0,http://dx.doi.org/10.1063/1.1687532
346,Ba8Ga16Ge30,Polycrystalline,"Solid state reaction, Ar",223.0,0.0009,-62.16,0.00042932,0.120934761,1.42,1111.1,400.0,http://dx.doi.org/10.1103/PhysRevB.77.075203
347,Zr0.99Nb0.01NiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.001214574,-210.789,0.0036582,0.603500311,6.0617,823.33,1000.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
348,CeFe4Sb12,Polycrystalline,"Melted, vacuum",204.0,0.00174341,156.737,0.0014091,,,573.59,1000.0,http://www.jstor.org/stable/2889796
349,Ti0.98Nb0.02NiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.00065392,-139.982,0.0029965,0.121054378,7.4261,1529.2,300.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
350,La3Te3.35Bi0.65,Polycrystalline,"Solid state reaction, Ar",220.0,0.00527,-185.2,0.00065084,0.475062535,1.37,189.75,1000.0,http://dx.doi.org/10.1103/PhysRevB.81.125205
351,Sr0.9Y0.1TiO3,Polycrystalline,"Solid state reaction, air",221.0,0.006614,-228.0,0.00078597,0.174659813,4.5,151.19,1000.0,http://jjap.jsap.jp/link?JJAP/43/L540/
352,In2O3,Polycrystalline,Solid state reaction,206.0,0.0194842,-202.219,0.00020988,0.038004955,3.86562,51.324,700.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
353,Ni2.0Mo6S8,Polycrystalline,"Solid state reaction, vacuum",148.0,0.000511538,9.16846,1.6433e-05,0.002820619,2.3304,1954.9,400.0,http://dx.doi.org/10.1007/s11664-009-0975-0
354,In0.2Co4Sb12,Polycrystalline,Solid state reaction,204.0,0.00113436,-192.21,0.0032569,0.380118325,2.57047,881.55,300.0,http://dx.doi.org/10.1557/jmr.2011.163
355,CuRh0.9Mg0.1O2,Polycrystalline,Solid state reaction,166.0,0.00407907,167.94,0.00069143,,,245.15,1000.0,http://dx.doi.org/10.1007/s11664-009-0815-2
356,ZrNiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.008742023,-342.674,0.0013432,0.064001427,8.395,114.39,400.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
357,Bi2Te3,Single crystal,Melted,166.0,0.00055,162.0,0.0047716,0.975,1.468195804,1818.2,300.0,http://dx.doi.org/10.1201/9781420049718.ch19
358,TlCr5Se8,Polycrystalline,Solid state reaction,12.0,0.016,240.0,0.00036,,,62.5,400.0,Personal communication
359,Bi2Ru2O7,Polycrystalline,Solid state reaction,227.0,0.00068672,12.43,2.2512e-05,,,1432.6,1000.0,http://dx.doi.org/10.1016/S0038-1098(03)00080-2
360,Fe1.3Mo6S8,Polycrystalline,"Solid state reaction, vacuum",148.0,0.000759615,45.2526,0.00026958,0.068003082,2.775,1316.5,700.0,http://dx.doi.org/10.1007/s11664-009-0975-0
361,CaYb0.05Mn0.95O3,Polycrystalline,Solid state reaction,62.0,0.0186642,-244.888,0.00032131,0.199082397,1.61396,53.579,1000.0,http://dx.doi.org/10.1109/ICT.2006.331291
362,Zn0.97Al0.03O,Polycrystalline,"Solid state reaction, air",186.0,0.019382024,-173.573,0.00015544,,,51.594,1000.0,http://dx.doi.org/10.1016/j.jeurceramsoc.2006.04.012
363,In1.998Ge0.002O3,Polycrystalline,Solid state reaction,206.0,0.00210578,-88.5671,0.0003725,0.012204602,9.1565,474.88,300.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
364,CeFe3CoSb12,Polycrystalline,Combination of melting and powder metallurgy techniques,204.0,0.00112,127.0,0.0014401,0.290927128,1.98,892.86,400.0,http://dx.doi.org/10.1109/ICT.1996.553263
365,ZrNiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.002797367,-284.671,0.0028969,0.338827093,5.9849,357.48,700.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
366,Ca0.9Ho0.1MnO3,Polycrystalline,Solid state reaction,62.0,0.00698113,-90.28,0.00011675,0.022586208,2.06759,143.24,400.0,http://dx.doi.org/10.1063/1.2362922
367,Cu1.98Se,Polycrystalline,"Melted, vacuum",225.0,0.000605,62.4,0.0006436,0.154463207,1.25,1652.9,300.0,http://dx.doi.org/10.1038/nmat3277
368,Mg1.9Ca0.1Si,Polycrystalline,"Melted, Ar",225.0,0.002117,-61.0,0.00017577,0.010140438,5.2,472.37,300.0,http://dx.doi.org/10.1016/j.jallcom.2007.09.101
369,Na0.02Pb0.98Te0.85Se0.15,Polycrystalline,Melted,225.0,0.000619008,98.33,0.0015621,0.28172853,2.21786,1615.5,400.0,http://dx.doi.org/10.1038/nature09996
370,Zr0.35Hf0.35Ti0.3NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.00228094,-348.046,0.0053108,1.263615091,2.942,438.42,700.0,http://dx.doi.org/10.1063/1.1868063
371,Zn0.9975Al0.0025O,Polycrystalline,"Solid state reaction, vacuum",186.0,0.0239096,-218.521,0.00019972,,,41.824,1000.0,http://dx.doi.org/10.1007/s11664-009-0815-2
372,Nd2Cu0.98Zn0.02O4,Polycrystalline,"Solid state reaction, air",139.0,0.0371163,-63.68,1.0926e-05,0.003009932,3.63,26.942,1000.0,http://dx.doi.org/10.1002/chin.200318015
373,Ca2.4Na0.3Bi0.3Co4O9,Polycrystalline,"Solid state reaction, air",12.0,0.009225,144.6,0.00022666,0.047717381,1.9,108.4,400.0,http://dx.doi.org/10.1063/1.1480115
374,Tl9BiTe6,Polycrystalline,"Melted, zone refined",140.0,0.01117,337.9,0.0010222,0.999677445,0.409,89.526,400.0,http://dx.doi.org/10.1103/PhysRevLett.86.4350
375,Ba8Ga18Ge28,Polycrystalline,Arc melting,223.0,0.00735,-266.0,0.00096267,0.962666667,1.0,136.05,1000.0,http://dx.doi.org/10.1109/ICT.2002.1190269
376,Yb14MnSb11,Single crystal,"Flux (Sn), Ar",142.0,0.00457917,164.143,0.00058838,0.822909213,0.715,218.38,1000.0,http://dx.doi.org/10.1021/cm060261t
377,CuCr0.99Mg0.01O2,Polycrystalline,"Solid state reaction, air",166.0,0.365988,445.826,5.4308e-05,0.01097686,4.9475,2.7323,1000.0,http://dx.doi.org/10.1109/ICT.2006.331288
378,Li0.0066Ni0.9944O,Polycrystalline,Solid state reaction,225.0,0.028478426,206.66,0.00014996,0.02826674,5.30518,35.114,1000.0,http://dx.doi.org/10.1143/JJAP.38.L1336
379,Ca0.9Sn0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,2.08200172,-255.18,3.1276e-06,,,0.48031,700.0,http://dx.doi.org/10.1006/jssc.1995.1384
380,In2O3,Polycrystalline,Solid state reaction,206.0,0.0149487,-172.722,0.00019957,0.011785614,6.77329,66.895,400.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
381,CaMn0.98Nb0.02O3,Polycrystalline,Ultrasonic spray pyrolysis,62.0,0.0308794,-248.22,0.00019952,0.144503757,1.38075,32.384,1000.0,http://dx.doi.org/10.1557/jmr.2011.140
382,CaMnO3,Polycrystalline,Solid state reaction,62.0,0.460937,-600.16,7.8144e-05,0.010513925,2.97299,2.1695,400.0,http://dx.doi.org/10.1063/1.2362922
383,Fe1.98Ti0.02O3,Polycrystalline,"Solid state reaction, air",2.0,0.887847148,-413.39,1.9248e-05,,,11263.0,300.0,http://dx.doi.org/10.1016/S0925-8388(01)01804-7
384,In1.94Ge0.06O3,Polycrystalline,Solid state reaction,206.0,0.000995442,-60.6186,0.00036914,0.02235983,6.6037,1004.6,400.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
385,Ca2.7Na0.3Co4O9,Polycrystalline,"Solid state reaction, air",12.0,0.008006,153.6,0.00029469,0.103141844,2.0,124.91,700.0,http://dx.doi.org/10.1063/1.1480115
386,Ba0.6Sr0.4PbO3,Polycrystalline,Solid state reaction (under oxygen),221.0,0.00068696,-39.71,0.00022956,,,1455.7,1000.0,http://dx.doi.org/10.1023/A:1018515223271
387,Na0.02Pb0.98Te0.75Se0.25,Polycrystalline,Melted,225.0,0.000690909,89.76,0.0011662,0.216602878,2.15357,1447.4,400.0,http://dx.doi.org/10.1038/nature09996
388,Mo3Te4,Polycrystalline,"Solid state reaction, vacuum",148.0,0.00072,7.50989,7.8331e-06,0.00080099,3.91172,1388.9,400.0,http://dx.doi.org/10.1016/S0925-8388(02)01002-2
389,La0.05Ca2.85Co3.8O8.55,Polycrystalline,"Sol-gel, air",12.0,0.019086118,123.896,8.0426e-05,,,52.394,1000.0,http://dx.doi.org/10.1016/S0038-1098(02)00555-0
390,Mo6Te6S2,Polycrystalline,"Solid state reaction, vacuum",148.0,0.001,14.6136,2.1356e-05,0.006182272,3.45435,1000.0,1000.0,http://dx.doi.org/10.1016/S0925-8388(02)01002-2
391,ZnO,Polycrystalline,"Solid state reaction, air",186.0,0.3891,-293.962,2.2209e-05,0.000267412,33.22,0.24964,400.0,http://dx.doi.org/10.1039/A602506D
392,Ca0.9La0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.006990172,-98.403,0.00013853,,,143.06,400.0,http://dx.doi.org/10.1006/jssc.1995.1384
393,La2.99Te4,Polycrystalline,"Solid state reaction, Ar",220.0,0.000974,-74.7,0.0005729,0.199618299,2.87,1026.7,1000.0,http://dx.doi.org/10.1103/PhysRevB.81.125205
394,CuRh0.99Mg0.01O2,Polycrystalline,"Solid state reaction, air",166.0,0.1314,261.0,5.1842e-05,,,7.6104,300.0,http://dx.doi.org/10.1103/PhysRevB.80.115103
395,Pb0.98TeNa0.02,Polycrystalline,Melting,225.0,0.00041684,64.0,0.00098263,0.0687154,4.29,2399.0,300.0,http://dx.doi.org/10.1038/nature11439
396,CuCrO2,Polycrystalline,"Solid state reaction, air",166.0,18.682,916.284,4.494e-06,0.000292025,6.1557,0.053527,400.0,http://dx.doi.org/10.1109/ICT.2006.331288
397,Sr4.5Nb4.5O15.5,Single crystal,"Floating zone method, Ar",31.0,0.00114,-19.0,3.1667e-05,0.003877551,2.45,877.19,300.0,http://dx.doi.org/10.1111/j.1551-2916.2012.05169.x
398,Zn0.95Al0.05O,Polycrystalline,"Solid state reaction, air",186.0,0.002089296,-195.646,0.0018321,0.089681724,14.3,449.53,700.0,http://dx.doi.org/10.1039/A602506D
399,CaMn6.5Cu0.5O12,Polycrystalline,"Solid state reaction, air",194.0,0.0281389,-24.3591,2.1087e-06,,,35.538,1000.0,http://dx.doi.org/10.1063/1.1687532
400,Bi2Sr2Co2O8,Single crystal,Solid state reaction + extra,,0.00276581,171.43,0.0010626,0.3597171,2.0678,361.56,700.0,http://dx.doi.org/10.1063/1.1502190
401,NbCoSn,Single crystal,Floating zone melting,216.0,0.00122831,-119.188,0.0011565,0.050251597,6.90444,814.13,300.0,http://dx.doi.org/10.1063/1.2828713
402,La0.3Ca2.7Co4O9,Polycrystalline,"Sol-gel, air",12.0,0.015040127,126.87,0.00010702,,,66.489,1000.0,http://dx.doi.org/10.1016/S0038-1098(02)00555-0
403,LiMn2O4,Polycrystalline,"Solid state reaction, air",227.0,0.261071,-19.4145,1.4438e-07,,,3.8304,1000.0,http://dx.doi.org/10.1063/1.1687532
404,Ca0.7Y0.3MnO3,Polycrystalline,Solid state reaction,62.0,0.00627506,-52.45,4.3845e-05,0.02025961,1.514920146,159.36,700.0,http://dx.doi.org/10.1016/0022-4596(91)90248-G
405,Ba8Au5.59Si39.01,Polycrystalline,"Melted, inert",223.0,0.00253,126.5,0.0006325,0.15617284,1.62,395.26,400.0,http://dx.doi.org/10.1063/1.3682585
406,Zr0.5Hf0.5NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.00974787,-178.765,0.00032783,0.024064225,4.087,102.59,300.0,http://dx.doi.org/10.1063/1.1868063
407,Ag9TlTe5,Polycrystalline,Melted,167.0,0.2544,388.0,5.9176e-05,0.088764151,0.2,3.9308,300.0,http://dx.doi.org/10.1063/1.2009828
408,La1.95Sr0.05CuO4,Polycrystalline,Solid state reaction (O2 atmosphere),64.0,0.0107975,140.0,0.00018152,,,92.614,400.0,http://dx.doi.org/10.1103/PhysRevLett.69.2975
409,Ba0.4Sr0.6PbO3,Polycrystalline,Solid state reaction (under oxygen),221.0,0.00093481,-52.48,0.00029463,,,1069.7,1000.0,http://dx.doi.org/10.1023/A:1018515223271
410,La1.85Sr0.15Cu0.94Ti0.06O4,Polycrystalline,Solid state reaction,139.0,12.61,200.0,3.1721e-07,,,0.079302,300.0,http://dx.doi.org/10.1016/j.ssc.2012.03.013
411,W0.99O2.97Co0.02O0.03,Polycrystalline,Solid state reaction,2.0,1246.791071,92.5958,6.8768e-10,,,0.00080206,300.0,http://dx.doi.org/10.1007/s10854-011-0574-8
412,La1.95Sr0.05CuO4,Polycrystalline,Solid state reaction (O2 atmosphere),64.0,0.00818141,149.91,0.00027469,,,122.23,300.0,http://dx.doi.org/10.1103/PhysRevLett.69.2975
413,W0.95O2.95Co0.1O0.15,Polycrystalline,Solid state reaction,2.0,99.41840235,106.01,1.1304e-08,,,0.010059,400.0,http://dx.doi.org/10.1007/s10854-011-0574-8
414,LiMn2O4,Polycrystalline,Solid state reaction (oxalates),227.0,85.3104,-147.0,2.5343e-08,,,0.011722,400.0,http://dx.doi.org/10.1039/c2jm16297k
415,Nd2Cu0.98Ni0.02O4,Polycrystalline,"Solid state reaction, air",139.0,0.0594173,-249.39,0.00010468,0.003200812,9.811,16.83,300.0,http://dx.doi.org/10.1002/chin.200318015
416,In0.05Co4Sb12,Polycrystalline,Solid state reaction,204.0,0.00677423,-295.57,0.0012896,0.296861717,1.73762,147.62,400.0,http://dx.doi.org/10.1021/cm052055b
417,CaMnO3,Polycrystalline,Solid state reaction,62.0,0.0844,-282.213,9.4418e-05,0.0457147,2.06537,11.855,1000.0,http://dx.doi.org/10.1109/ICT.2006.331291
418,Zr0.3Hf0.3Ti0.4NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.00203291,-358.019,0.0063051,,,491.91,700.0,http://dx.doi.org/10.1016/j.jallcom.2004.05.078
419,Zn4Sb3,Polycrystalline,"Melted, inert",167.0,0.00332511,205.872,0.0012746,1.286961011,0.6933,300.74,700.0,http://dx.doi.org/10.1016/S0022-3697(96)00228-4
420,Sb0.005I0.015Cs0.995Bi3.98Te5.97,Single crystal,"Melted, air",12.0,0.00085,154.2,0.0027974,0.559473882,1.5,1176.5,300.0,http://dx.doi.org/10.1126/science.287.5455.1024
421,LaFe3CoSb12,Polycrystalline,"Melted, vacuum",204.0,0.00164306,108.391,0.00071504,0.134070829,1.6,608.62,300.0,http://www.jstor.org/stable/2889796
422,Sr2Ti0.8Nb0.2O4,Polycrystalline,"Solid state reaction, Ar",221.0,0.008654262,-110.3,0.00014058,0.039679604,2.48,115.55,700.0,http://dx.doi.org/10.1063/1.3117943
423,In0.25Co4Sb12,Polycrystalline,Solid state reaction,204.0,0.00165666,-275.7,0.0045882,1.504651502,2.13453,603.62,700.0,http://dx.doi.org/10.1021/cm052055b
424,Si0.9Ge0.1,Nanoparticles,,227.0,0.004144,273.0,0.0017985,,,241.31,1000.0,Personal communication
425,Ca2.94Na0.06AlSb3,Polycrystalline,"Solid state reaction, Ar",62.0,0.0337,150.0,6.6766e-05,0.021028529,1.27,29.674,400.0,http://dx.doi.org/10.1039/c0ee00517g
426,Nd2Ru2O7,Polycrystalline,Ultrasonic spray pyrolysis,227.0,1.536,173.9,1.9688e-06,,,0.65104,300.0,
427,CuCr0.98Mg0.02O2,Polycrystalline,Solid state reaction,166.0,0.0865553,351.827,0.00014301,,,11.553,700.0,http://dx.doi.org/10.1007/s11664-009-0815-2
428,Zn0.99Al0.01O,Polycrystalline,"Solid state reaction, vacuum",186.0,0.00772102,-175.78,0.00040019,,,129.52,1000.0,http://dx.doi.org/10.1007/s11664-009-0815-2
