,likely_mpid,expt_gap,formula
1380,,2.8,FeBi25O39
1381,mp-5436,0.0,FeCo2Si
1382,,0.0,FeCoAs
1383,mp-505244,0.15,FeCuSe2
1384,,0.16,FeCuTe2
1385,mp-571122,5.15,FeI2
1386,,0.0,FeOF
1387,mp-1005,0.0,FeP
1388,mp-570553,0.32,FeP4
1389,mp-1101971,0.25,FePS
1390,mp-21845,0.0,FePd3
1391,,0.0,FeRhO3
1392,mp-21260,0.0,FeSn
1393,,1.22,Ga1As0.1P0.9
1394,,0.3,Ga0.001Te1Pb0.999
1395,,0.37,Ga0.005Te1Pb0.995
1396,,0.42,Ga0.01Te1Pb0.99
1397,,0.37,Ga0.04Te1Pb0.96
1398,,0.34,Ga0.07Te1Pb0.93
1399,,0.69,Ga0.95Hg0.05Sb0.95Te0.05
1400,,0.72,Ga0.99Hg0.01Sb0.99Te0.01
1401,,0.65,Ga0.9Hg0.1Sb0.9Te0.1
1402,,0.71,Ga1.001Sb0.999Se0.003
1403,,0.72,Ga1.001Sb0.999Te0.003
1404,,0.7,Ga1.002Sb0.998Se0.006
1405,,0.7,Ga1.002Sb0.998Te0.006
1406,,0.64,Ga1.005Sb0.995Se0.015
1407,,0.68,Ga1.005Sb0.995Te0.015
1408,,1.59,Ga1.01Cu0.99Se2.01
1409,,0.62,Ga1.01Sb0.99Se0.03
1410,,0.68,Ga1.01Sb0.99Te0.03
1411,,0.63,Ga1.02Sb0.98Se0.06
1412,,0.68,Ga1.02Sb0.98Te0.06
1413,,0.66,Ga1.05Sb0.95Se0.15
1414,,0.68,Ga1.05Sb0.95Te0.15
1415,,1.59,Ga1.1Cu0.9Se2.1
1416,,0.67,Ga1.1Sb0.9Se0.3
1417,,0.7,Ga1.1Sb0.9Te0.3
1418,,1.58,Ga1.2Cu0.8Se2.2
1419,,2.43,Ga1.5Cu0.5S2.5
1420,,1.76,Ga1.5Cu0.5Se2.5
1421,,2.53,Ga1.65Cu0.35S2.65
1422,,1.81,Ga1.65Cu0.35Se2.65
1423,,2.45,Ga1.6Cu0.4S2.6
1424,,2.55,Ga1.7Cu0.3S2.7
1425,,1.92,Ga1.85Cu0.15Se2.85
1426,,2.65,Ga1.8Cu0.2S2.8
1427,,1.86,Ga1.8Cu0.2Se2.8
1428,,2.64,Ga1.95Cu0.05S2.95
1429,,1.96,Ga1.95Cu0.05Se2.95
1430,,1.99,Ga1.99Cu0.01Se2.99
1431,,2.6,Ga1.9Cu0.1S2.9
1432,,2.23,Ga1As0.01P0.99
1433,,2.2,Ga1As0.2P0.8
1434,,2.16,Ga1As0.3P0.7
1435,,2.1,Ga1As0.4P0.6
1436,,2.0,Ga1As0.5P0.5
1437,,1.91,Ga1As0.6P0.4
1438,,1.8,Ga1As0.7P0.3
1439,,1.62,Ga1As0.8P0.2
1440,,1.37,Ga1As0.99P0.01
1441,,1.5,Ga1As0.9P0.1
1442,,0.7,Ga1Sb0.01As0.99
1443,,0.66,Ga1Sb0.14As0.86
1444,,0.65,Ga1Sb0.25As0.75
1445,,0.68,Ga1Sb0.35As0.65
1446,,0.67,Ga1Sb0.3As0.7
1447,,1.1,Ga1Sb0.85As0.15
1448,,1.02,Ga1Sb0.8As0.2
1449,,1.28,Ga1Sb0.95As0.05
1450,,1.37,Ga1Sb0.99As0.01
1451,,4.14,Ga2(TeO3)3
1452,,2.42,Ga2Cu1S3.5
1453,,0.63,Ga2CuSe4
1454,,1.96,Ga2GePbSe6
1455,,0.84,Ga2GeTe3
1456,mp-4809,2.79,Ga2HgS4
1457,mp-4730,1.95,Ga2HgSe4
1458,mp-6959,0.0,Ga2NiS4
1459,mp-1196984,2.38,Ga2PbS4
1460,mp-571171,1.83,Ga2PbSe4
1461,mp-539,2.8,Ga2S3
1462,mp-1196063,4.61,Ga2Se2O7
1463,,2.35,Ga2Si(AgS3)2
1464,,2.17,Ga2SiPbSe6
1465,mp-1194838,2.04,Ga2SnGeS6
1466,,1.09,Ga3CuTe5
1467,mp-21400,0.0,Ga3Pt2
1468,,2.3,Ga3SiAg3Se8
1469,,1.08,Ga4Cu2Te7
1470,,3.08,Ga4PbS7
1471,,3.1,Ga4SnS7
1472,,2.55,Ga4SnSe7
1473,,2.35,Ga5Ge(PbS3)4
1474,,1.91,Ga5Ge(PbSe3)4
1475,mp-31485,0.0,Ga5Pd13
1476,mp-567502,0.0,Ga8Cu3Mo2
1477,mp-31312,0.0,Ga9Rh2
1478,,2.17,GaAgGe3Se8
1479,,2.14,GaAgGe5Se12
1480,,3.0,GaAgGeS4
1481,mp-1105293,2.2,GaAgO2
1482,mp-4899,1.1,GaAgTe2
1483,,0.0,GaAs2W
1484,,0.1,GaBi
1485,,2.99,GaBi25O39
1486,,1.38,GaCuGeSe4
1487,mp-4280,1.47,GaCuO2
1488,mp-19870,0.0,GaFe3
1489,,0.0,GaFeNi2
1490,mp-8211,1.1,GaGeTe
1491,mp-1194398,5.51,GaHSeO4
1492,mp-2490,2.74,GaP
1493,,2.63,GaSiAgSe4
1494,,0.0,GaSiRu2
1495,,1.42,GaTc
1496,,0.0,GaTc2W
1497,,1.62,Gd(CuS)3
1498,,0.14,Gd(CuSe)3
1499,,0.52,Gd(CuTe)3
1500,,1.13,Gd(InS2)3
1501,mp-646399,0.0,Gd(NiGe)2
1502,mp-569302,0.0,Gd(SiRu)2
1503,,1.2,Gd1.05Sc0.95Se3
1504,,1.75,Gd1.47Mn2.04In0.49S5
1505,,1.56,Gd1.87Lu2.13Se6
1506,,1.66,Gd1Mn1.95In1.05S5
1507,mp-582406,0.0,Gd2(Zn2Ge)3
1508,mp-637222,0.0,Gd2AlCo2
1509,,1.44,Gd2Mn4S7
1510,mp-504886,5.3,Gd2O3
1511,mp-608146,2.55,Gd2S3
1512,mp-1188175,2.2,Gd2Se3
1513,mp-1105966,0.74,Gd2Te3
1514,mp-542437,0.0,Gd2Zn17
1515,mp-1200036,1.88,Gd2ZrS5
1516,mp-580327,0.0,Gd3(AlNi3)2
1517,,1.5,Gd3.04Sc0.96S6
1518,,2.34,Gd3Al0.74Si0.7S7
1519,mp-637182,0.0,Gd3Al7Ag2
1520,mp-605854,0.0,Gd3Co11B4
1521,mp-31101,0.0,Gd3ReO7
1522,mp-20036,0.0,Gd3S4
1523,mp-1199284,2.41,Gd4GaSbS9
1524,,2.2,Gd6Ge2.5S14
1525,mp-680956,0.0,Gd6Ta4Al43
1526,mp-510374,0.63,GdAs
1527,,3.48,GdB(SbO4)2
1528,mp-22266,3.6,GdB6
1529,,1.27,GdB66
1530,mp-20965,0.0,GdCd2
1531,,3.8,GdCd4B3O10
1532,mp-19714,0.0,GdGeRu
1533,,4.84,GdH2NO5
1534,mp-19745,0.0,GdInIr
1535,mp-940,1.54,GdN
1536,mp-505604,0.0,GdNiO3
1537,mp-21149,0.0,GdO2
1538,mp-20415,0.0,GdPbAu
1539,mp-510403,0.0,GdSb
1540,mp-21061,0.0,GdSbPd
1541,mp-510490,2.1,GdScS3
1542,mp-1018707,0.0,GdSe2
1543,mp-574283,1.3,GdTe
1544,mp-2497,0.0,GdZn
1545,mp-1018711,0.0,GdZnIn
1546,mp-23352,3.25,Ge(Bi3O5)4
1547,mp-1205339,5.27,Ge(SeO3)2
1548,,0.0,Ge(WO3)6
1549,,0.27,Ge0.01Pb0.99Se1
1550,,0.23,Ge0.01Te0.01Pb0.99Se0.99
1551,,0.32,Ge0.01Te0.99Pb0.99S0.01
1552,,0.32,Ge0.01Te1Pb0.99
1553,,0.34,Ge0.02Te0.98Pb0.98S0.02
1554,,0.28,Ge0.03Pb0.97Se0.97S0.03
1555,,0.29,Ge0.05Pb0.95Se0.95S0.05
1556,,0.28,Ge0.05Pb0.95Se1
1557,,0.4,Ge0.05Te0.95Pb0.95S0.05
1558,,0.34,Ge0.05Te1Pb0.95
1559,,0.28,Ge0.06Te0.06Pb0.94Se0.94
1560,,0.34,Ge0.15Pb0.85Se0.85S0.15
1561,,0.32,Ge0.15Te0.15Pb0.85Se0.85
1562,,0.36,Ge0.15Te1Pb0.85
1563,,0.32,Ge0.1Pb0.9Se0.9S0.1
1564,,0.3,Ge0.1Pb0.9Se1
1565,,0.35,Ge0.1Te1Pb0.9
1566,,0.44,Ge0.25Te1Pb0.75
1567,,0.35,Ge0.2Pb0.8Se1
1568,,0.36,Ge0.2Te0.2Pb0.8Se0.8
1569,,0.4,Ge0.2Te1Pb0.8
1570,,0.56,Ge0.39Te1Pb0.61
1571,,0.4,Ge0.3Pb0.7Se1
1572,,0.48,Ge0.3Te1Pb0.7
1573,,0.49,Ge0.41Te1Pb0.59
1574,,0.51,Ge0.4Te1Pb0.6
1575,mp-10032,0.0,Ge2Os
1576,mp-3534,0.5,Ge2Sb2Te5
1577,,3.3,Ge3Bi3O10.5
1578,,0.0,Ge3Sb
1579,,0.8,Ge40Te5.3I8
1580,mp-28487,0.0,Ge5(Te4As)2
1581,,0.0,GeAs3
1582,mp-27922,1.5,GeI2
1583,mp-733,5.54,GeO2
1584,mp-1095275,0.95,GeP
1585,mp-1198509,4.1,GePb2(SeO3)4
1586,mp-624190,2.4,GePbS3
1587,mp-20061,0.0,GePt2
1588,mp-22239,0.0,GeRh
1589,,0.3,GeTe2
1590,,0.0,H2Se
1591,mp-24354,4.81,H7Se2NO6
1592,,0.0,HPbI3
1593,mp-571367,0.0,Hf(CoSi)2
1594,mp-15986,0.0,Hf(CuP)2
1595,mp-1025167,0.0,Hf(VGa2)2
1596,mp-976724,0.0,Hf(VH2)2
1597,,0.0,Hf2Al3C4
1598,mp-18581,0.0,Hf2Co4P3
1599,mp-2754,0.0,Hf2Fe
1600,mp-9939,0.0,Hf2Ge
1601,mp-1018154,0.0,Hf2Hg
1602,,0.0,Hf2MnIr
1603,mp-861,0.0,Hf2Ni
1604,,0.0,Hf2OsPd
1605,,0.0,Hf2ReRh
1606,mp-10000,0.0,Hf2S
1607,mp-9938,0.0,Hf2Si
1608,,0.0,Hf2Tl
1609,mp-10245,0.0,Hf3(CuSi)4
1610,mp-10076,0.0,Hf3(NiGe)4
1611,mp-504812,0.0,Hf3P
1612,mp-29811,0.0,Hf3P3Pd4
1613,mp-15964,0.0,Hf3Sb
1614,mp-722913,0.0,Hf3Zn3N
1615,mp-1025223,0.0,Hf4Al3
1616,mp-976184,0.0,Hf4Co4Si7
1617,mp-568048,0.0,Hf54Os17
1618,mp-607409,0.0,Hf5CuPb3
1619,,0.0,Hf5Pb
1620,mp-17466,0.0,Hf5Sb3
1621,mp-570870,0.0,Hf5Sb9
1622,mp-17216,0.0,Hf5Si4
1623,mp-21104,0.0,Hf5Sn3
1624,mp-510691,0.0,Hf5Sn4
1625,mp-12884,0.0,Hf5Te4
1626,,0.0,Hf6PbO18
1627,mp-18622,0.0,Hf7P4
1628,mp-16501,0.0,HfAlPd2
1629,mp-29646,0.0,HfAs2
1630,,0.0,HfAsRh
1631,,0.0,HfB
1632,mp-13861,0.0,HfB4Ir3
1633,mp-21075,0.0,HfC
1634,mp-7804,0.0,HfCo3B2
1635,mp-333,0.0,HfFe2
1636,mp-3576,0.0,HfGaCo2
1637,mp-1198529,2.47,HfHg4(AsCl3)2
1638,mp-1202310,3.26,HfHg4(PCl3)2
1639,mp-600125,0.0,HfInCu2
1640,mp-569516,0.0,HfNi5
1641,mp-352,5.55,HfO2
1642,mp-570960,0.0,HfOs2
1643,mp-1007691,0.0,HfPt
1644,mp-985829,2.9,HfS2
1645,mp-985831,2.2,HfSe2
1646,mp-1042,0.0,HfSi
1647,mp-10456,0.0,HfSiPt
1648,mp-11460,0.0,HfTc
1649,,0.0,HfTiF6
1650,,0.0,HfTl3
1651,mp-1018720,0.0,HfVSi
1652,,0.0,HfZnNi2
1653,mp-11870,0.0,Hg2Rh
1654,mp-557697,0.0,Hg2Sb2O7
1655,,0.0,Hg3As
1656,mp-1104411,3.26,Hg3Bi2(SCl4)2
1657,mp-1192395,2.8,Hg3Bi2(TeCl4)2
1658,,0.0,Hg3C
1659,,1.98,Hg3PS3
1660,,2.03,Hg3PS4
1661,,0.0,Hg3Sb
1662,,1.57,Hg5AsS2I3
1663,,1.73,Hg7.5As4Cl6
1664,,2.43,Hg8Bi3As4Cl13
1665,mp-23177,2.6,HgBr
1666,mp-23292,3.59,HgBr2
1667,,3.4,HgBrCl
1668,mp-22855,4.45,HgCl2
1669,mp-22859,2.37,HgI
1670,,0.0,HgIrO3
1671,,0.0,HgOsPb2
1672,mp-27178,2.6,HgPS3
1673,mp-623,0.0,HgPt
1674,mp-1066522,0.0,HgPt3
1675,,0.0,HgRhO3
1676,mp-1123,2.1,HgS
1677,mp-2730,0.15,HgTe
1678,,2.06,HgTeBr
1679,,1.85,HgTeI
1680,mp-20410,0.0,Ho(BC)2
1681,,0.0,Ho(BiO3)2
1682,,0.0,Ho(CuO2)2
1683,,0.16,Ho(CuSe)3
1684,,0.26,Ho(CuTe)3
1685,,1.23,Ho(InS2)3
1686,mp-20630,0.0,Ho(MnSn)6
1687,mp-31009,0.0,Ho(NiB)2
1688,,0.0,Ho(SbO3)2
1689,mp-5219,0.0,Ho(SiOs)2
1690,mp-4148,0.0,Ho(SiPd)2
1691,mp-16377,0.0,Ho(SiPt)2
1692,mp-5720,0.0,Ho(SiRu)2
1693,mp-569851,0.0,Ho10Si17
1694,mp-30385,0.0,Ho2Au
1695,,0.0,Ho2B4C
1696,mp-1023,0.0,Ho2Co17
1697,,0.0,Ho2CuRh
1698,mp-17534,0.0,Ho2Ge5Rh3
1699,,2.5,Ho2GeS5
1700,mp-1195954,1.0,Ho2HfS5
1701,mp-812,5.42,Ho2O3
1702,mp-31089,0.0,Ho2Pd2Pb
1703,mp-878,0.5,Ho2S3
1704,mp-29677,0.0,Ho3AlC
1705,,0.0,Ho3GaC
1706,mp-542748,0.0,Ho3Ge5
1707,,0.0,Ho3Hg
1708,mp-28151,0.0,Ho3Ni19B10
1709,,0.0,Ho3P
1710,,0.0,Ho3Pd2
1711,mp-1154,0.0,Ho4C7
1712,mp-978039,0.0,Ho4Ga16Co3
1713,mp-21816,0.0,Ho5(Ge5Rh2)2
1714,mp-542829,0.0,Ho5Si4
1715,,0.0,HoAlAu2
1716,mp-569726,0.0,HoAlB14
1717,mp-1025027,0.0,HoB2Rh3
1718,mp-569281,0.0,HoB4
1719,mp-1423,0.0,HoC2
1720,mp-170,0.0,HoCd
1721,mp-11302,0.0,HoCd3
1722,mp-12007,0.0,HoCdCu4
1723,mp-30558,0.0,HoCo3
1724,,0.0,HoCu4Pd
1725,mp-16342,0.0,HoGe
1726,mp-5519,0.0,HoGeAu
1727,mp-30388,0.0,HoInAu2
1728,mp-21290,0.0,HoInPt
1729,mp-13499,0.0,HoMg2
1730,,0.0,HoMgAu2
1731,,0.0,HoMgZn2
1732,mp-14015,0.0,HoMn12
1733,mp-542171,0.0,HoNiGe
1734,,0.0,HoSb2
1735,mp-12899,0.0,HoSi
1736,mp-570102,0.0,HoSiRu2C
1737,,0.0,HoTh3
1738,mp-22108,0.0,HoTiGe
1739,,0.0,HoTiO3
1740,mp-22274,0.0,HoTiSi
1741,mp-30732,0.0,HoTlPd
1742,mp-13380,0.0,HoZnRh
1743,,0.0,HoZnRh2
1744,,0.0,ICl2
1745,mp-20152,0.0,In(MoSe)3
1746,,1.29,In(PSe2)2
1747,,0.3,In0.001Te1Pb0.999
1748,,0.43,In0.005Te1Pb0.995
1749,,1.43,In0.01Ga0.99As0.99P0.01
1750,,1.4,In0.01Ga0.99As1
1751,,0.53,In0.01Te1Pb0.99
1752,,0.37,In0.04Te1Pb0.96
1753,,0.32,In0.07Te1Pb0.93
1754,,2.25,In0.1Ga0.9As0.1P0.9
1755,,1.6,In0.1Ga0.9As0.9P0.1
1756,,2.15,In0.2Ga0.8As0.2P0.8
1757,,1.58,In0.2Ga0.8As0.8P0.2
1758,,1.07,In0.2Ga0.8As1
1759,,2.05,In0.3Ga0.7As0.3P0.7
1760,,1.67,In0.3Ga0.7As0.7P0.3
1761,,1.0,In0.3Ga0.7As1
1762,,2.2,In0.3Ga0.7P1
1763,,1.85,In0.4Ga0.6As0.4P0.6
1764,,1.74,In0.4Ga0.6As0.6P0.4
1765,,0.81,In0.4Ga0.6As1
1766,,2.05,In0.4Ga0.6P1
1767,,2.15,In0.4Ga1.6Cu1S3.5
1768,,0.75,In0.5Ga0.5As1
1769,,1.9,In0.5Ga0.5P1
1770,,1.25,In0.6Ga0.4As0.6P0.4
1771,,0.55,In0.72Ga0.28As1
1772,,1.58,In0.7Ga0.3As0.3P0.7
1773,,1.4,In0.8Ga0.2As0.2P0.8
1774,,0.85,In0.8Ga0.2As0.8P0.2
1775,,0.5,In0.8Ga0.2As1
1776,,1.3,In0.99Ga0.01As0.01P0.99
1777,,0.3,In0.99Ga0.01As0.99P0.01
1778,,1.32,In0.9Ga0.1As0.1P0.9
1779,,0.45,In0.9Ga0.1As0.9P0.1
1780,,1.08,In1.01Cu0.99Se2.01
1781,,1.07,In1.05Cu0.95Se2.05
1782,,1.06,In1.1Cu0.9Se2.1
1783,,1.1,In1.3Cu0.7Se2.3
1784,,1.24,In1.5Cu0.5Se2.5
1785,,1.19,In1.65Cu0.35Se2.65
1786,,1.32,In1.6Cu0.4Se2.6
1787,,1.55,In1.6Ga0.4Cu1S3.5
1788,,1.21,In1.7Cu0.3Se2.7
1789,,1.32,In1.85Cu0.15Se2.85
1790,,1.26,In1.8Cu0.2Se2.8
1791,,1.45,In1.99Cu0.01Se2.99
1792,,1.45,In1.9Cu0.1Se2.9
1793,,1.45,In11.3Bi14.7S38
1794,,0.0,In11Cu9Se20
1795,,0.94,In1Ag1.75Sb5.75Se11
1796,,1.84,In1Ga1Cu1S3.5
1797,,1.71,In1Hg4As2.5Br3.5
1798,,0.17,In1Sb0.01As0.99
1799,,0.14,In1Sb0.1As0.9
1800,,0.12,In1Sb0.2As0.8
1801,,0.11,In1Sb0.3As0.7
1802,,0.1,In1Sb0.4As0.6
1803,,0.1,In1Sb0.5As0.5
1804,,0.13,In1Sb0.6As0.4
1805,,0.16,In1Sb0.7As0.3
1806,,0.21,In1Sb0.8As0.2
1807,,0.35,In1Sb0.99As0.01
1808,,0.27,In1Sb0.9As0.1
1809,mp-1191856,4.62,In2As2Cl2O5
1810,mp-1198577,5.39,In2B(PO4)3
1811,mp-1198248,1.38,In2Bi3Se7I
1812,mp-20296,0.0,In2Co
1813,,1.43,In2Cu1S3.5
1814,,1.15,In2FeSe4
1815,,0.68,In2GeTe3
1816,,3.13,In2Hg6(P2Cl3)3
1817,mp-22356,2.0,In2HgS4
1818,mp-20731,0.6,In2HgSe4
1819,mp-22598,2.8,In2O3
1820,mp-22682,0.0,In2Pt
1821,mp-22216,2.0,In2S3
1822,mp-1199125,2.97,In2Se2O7
1823,,0.46,In2Te
1824,,0.68,In3AgTe5
1825,mp-510099,0.0,In3Au10
1826,mp-651005,0.0,In3Bi7(Pb2S9)2
1827,,1.2,In3CuS5
1828,,0.6,In3CuSe5
1829,mp-22146,0.0,In3Pd5
1830,,0.0,In3Sb
1831,mp-1200791,4.22,In4As5(BrO4)3
1832,,1.42,In4Bi3S10
1833,,1.1,In4Cu2Te7
1834,,0.9,In4S5
1835,mp-19932,0.64,In4Se3
1836,,1.76,In5AgS8
1837,mp-569813,0.47,In5AgTe8
1838,,1.34,In5CuS8
1839,,0.14,In5Se6
1840,,1.5,In9AgTe14
1841,mp-30343,0.0,InAg3
1842,mp-22660,4.2,InAgO2
1843,mp-22386,0.93,InAgTe2
1844,,0.41,InAsI
1845,mp-569683,0.0,InAu3
1846,,1.5,InBi2S4Br
1847,mp-559521,1.5,InBi2S4Cl
1848,mp-571169,1.21,InBi2Se4Br
1849,,1.3,InCuGeSe4
1850,mp-22736,1.5,InCuS2
1851,mp-22611,0.0,InFe2CuSe4
1852,mp-1196151,2.54,InHg7S6Cl5
1853,,0.0,InHgW2
1854,mp-20790,3.12,InPS4
1855,mp-510438,0.0,InPt
1856,,0.0,InPt3C
1857,mp-559864,1.8,InSb2S4Br
1858,mp-556541,1.8,InSb2S4Cl
1859,mp-570321,1.35,InSb2Se4Br
1860,,0.0,InSiIr
1861,mp-567931,0.0,InSiTe3
1862,,0.2,InSn2As2Se
1863,,0.26,InSnAsSe
1864,,2.0,Ir0.67S2
1865,,0.45,Ir0.67Se2
1866,,0.0,IrPb
1867,mp-2833,0.9,IrS2
1868,mp-1361,0.9,IrSe2
1869,,1.2,IrSeS
1870,mp-4668,0.0,K(CoSe)2
1871,mp-35276,0.0,K(FeAs)2
1872,mp-639900,1.8,K(GeSe2)2
1873,mp-554461,0.0,K(OsO3)2
1874,,2.78,K0.8Sn2Hg1.2S8
1875,,0.53,K1.25Bi7.25Pb3.5Se15
1876,,0.39,K1.46Sn3.09Bi7.45Se15
1877,,1.37,K1.83Cd1.83Bi2.17S6
1878,,2.2,K10Fe4Sn4S17
1879,,2.3,K10Mn4Sn4S17
1880,,1.82,K10Sn3(PSe3)8
1881,,3.34,K10Zn4Ge4S17
1882,,0.0,K11Mn4O16
1883,,0.6,K2.15Sb8.15Pb1.7Se15
1884,,2.2,K2Ag3Sb3S7
1885,,1.8,K2AgSnSe4
1886,mp-560217,6.89,K2Al2B2O7
1887,mp-1195201,2.65,K2Au(IO3)5
1888,,0.0,K2B10H9O
1889,,1.77,K2BaNb2S11
1890,,2.58,K2Cd(PSe3)2
1891,mp-571637,1.93,K2Cd2Te3
1892,mp-18101,2.75,K2Cd3S4
1893,mp-1198419,2.36,K2Cd3Se4
1894,mp-18531,2.26,K2Cd3Te4
1895,mp-1195550,2.46,K2Ce(PO4)2
1896,,3.38,K2Dy2Ti3O10
1897,mp-1200819,1.95,K2FeGe3Se8
1898,mp-10973,1.72,K2Ga3CuSe6
1899,mp-1199482,1.33,K2Gd2Sb2Se9
1900,,3.3,K2Gd2Ti3O10
1901,mp-561132,2.85,K2Ge2PbS6
1902,mp-560019,5.38,K2Ge3(BO5)2
1903,mp-568855,2.25,K2Hg(PSe3)2
1904,mp-17792,2.64,K2Hg3(GeS4)2
1905,,2.28,K2Hg3Se1.31S2.69
1906,,2.11,K2Hg3Se2.97S1.03
1907,mp-1172870,2.43,K2Ho4Cu4S9
1908,mp-1199715,2.2,K2In2P3Se10
1909,mp-21705,1.64,K2In3AgSe6
1910,mp-21713,1.68,K2In3CuSe6
1911,,2.2,K2La2Sb2S9
1912,mp-6548,3.05,K2La2Ti3O10
1913,mp-669410,2.0,K2Mn(SnSe3)2
1914,mp-29861,0.0,K2Mn3S4
1915,mp-628305,1.7,K2MnSnSe4
1916,mp-1195788,3.3,K2Mo2Se2O11
1917,mp-9763,2.82,K2NbCuS4
1918,mp-9003,2.14,K2NbCuSe4
1919,,0.0,K2NbO6
1920,,3.25,K2Nd2Ti3O10
1921,mp-9509,2.63,K2PAuS4
1922,,1.48,K2PdSe10
1923,,1.2,K2RbSb
1924,mp-29877,5.71,K2ReH9
1925,mp-23471,0.0,K2RuCl6
1926,mp-1022,2.1,K2S
1927,,1.31,K2Sb8Se3
1928,mp-8426,1.8,K2Se
1929,,3.26,K2Sm2Ti3O10
1930,mp-555587,2.59,K2SmP2S7
1931,mp-557121,2.75,K2Sn(AuS2)2
1932,mp-1195395,2.3,K2Sn3(SbS5)2
1933,,0.33,K2Ta15O32
1934,mp-1747,1.9,K2Te
1935,mp-27688,1.38,K2TeI6
1936,mp-555425,2.17,K2Th(CuS2)2
1937,,2.04,K2Ti(CuS2)2
1938,mp-8900,1.85,K2VAgS4
1939,mp-15147,1.82,K2VCuS4
1940,mp-1195072,1.71,K2Zn(SnSe3)2
1941,mp-12535,3.0,K2ZnTe2
1942,mp-541447,0.0,K3(FeS2)2
1943,mp-1189091,6.89,K3B6ClO10
1944,,2.1,K3Bi2I9
1945,mp-1204785,3.47,K3Cd(BO2)5
1946,mp-559251,1.35,K3Cr2(PS4)3
1947,,3.25,K3Ga3Ge7S20
1948,,2.23,K3Ga3Ge7Se20
1949,,0.0,K3Hg
1950,,0.0,K3LiNb6O15
1951,mp-628185,2.2,K3NaSn3Se8
1952,mp-542545,1.53,K3Nb2AsSe11
1953,mp-560964,2.2,K3Sm(AsS4)2
1954,,0.0,K3Sn
1955,,2.21,K3Ta2AsS11
1956,mp-683905,1.45,K3Ta2AsSe11
1957,mp-638086,2.49,K3Th2Cu3S7
1958,,1.61,K3Ti2P5S18
1959,,0.0,K3UF3
1960,,0.0,K3V
1961,,1.81,K4(ZrSe5)3
1962,,2.0,K4Ag9(SbS3)4
1963,,1.4,K4Al4Si19
1964,,0.0,K4C2O3
1965,,2.46,K4Ce3Sn3S14
1966,,1.18,K4Ga4Si19
1967,mp-1195433,2.0,K4Ge(PSe3)4
1968,mp-556627,0.8,K4GeS4
1969,mp-568847,0.64,K4GeSe4
1970,,2.02,K4Hf3Se14
1971,mp-1199321,2.2,K5In3P6Se19
1972,mp-6296,2.33,K6Cd4Sn3Se13
1973,mp-17698,2.51,K6CdTe4
1974,,2.01,K6Ta1.03Nb2.97S25
1975,,1.88,K6Ta2.93Nb1.07S22
1976,mp-683975,2.6,K6Yb3(PS4)5
1977,,2.34,K8Ce2I18O53
1978,,0.0,K8N3O
1979,,1.4,K9Bi13S24
1980,mp-12735,0.0,KAg2
1981,,2.25,KAg2AsS3
1982,mp-12532,3.02,KAg2PS4
1983,mp-1192667,2.1,KAg2SbS3
1984,mp-9490,2.2,KAg2SbS4
1985,,2.21,KAgAsS2
1986,mp-1205357,0.0,KAgF3
1987,mp-3074,0.0,KAgO
1988,,3.5,KAlGeS4
1989,mp-14659,1.62,KAsSe2
1990,mp-557441,2.75,KAu(IO3)4
1991,,3.1,KB5PbO9
1992,mp-1191826,2.26,KBaAsSe3
1993,mp-557420,3.65,KBaB5O9
1994,mp-1190698,2.04,KBaSbSe3
1995,mp-23279,0.0,KBi2
1996,,1.21,KBi3S5
1997,mp-29799,0.0,KBiO3
1998,,0.86,KBiS2
1999,,0.61,KBiSe2
2000,mp-23251,7.6,KBr
2001,,0.0,KC60
2002,,2.16,KCd4Ga5Se12
2003,mp-22395,1.54,KCeSe4
2004,mp-23193,8.5,KCl
2005,mp-20528,0.0,KCoO2
2006,mp-1194436,1.29,KCu2BiS3
2007,mp-9868,1.46,KCu3S2
2008,mp-557728,1.9,KCu4AsS4
2009,mp-649472,0.0,KCuPO4
2010,,1.47,KCuSnS3
2011,,1.04,KCuSnSe3
2012,mp-867419,1.89,KEuAsS4
2013,mp-1018137,0.0,KEuS2
2014,mp-463,10.3,KF
2015,,1.76,KFe2BiO5
2016,,1.06,KFeCuTe2
2017,,2.6,KGaSe2
2018,,1.73,KGaSnSe4
2019,,0.0,KH(CN2)3
2020,mp-11462,0.0,KHg
2021,mp-11952,0.0,KHg11
2022,mp-30717,0.0,KHg2
2023,mp-1195253,4.0,KIn(TeO3)2
2024,,3.1,KInGeS4
2025,mp-505412,3.0,KInS2
2026,mp-505700,2.68,KInSe2
2027,,2.3,KInSnS4
2028,,0.0,KLi(WO3)3
2029,mp-562137,6.32,KLiCO3
2030,,0.0,KLu
2031,,0.0,KMo6S7
2032,,0.0,KNb2O5
2033,,0.0,KNb2Se
2034,mp-1202434,3.46,KNb3(SeO6)2
2035,mp-1202170,3.52,KNb3(TeO6)2
2036,,4.0,KNbSe2O7
2037,mp-23959,6.95,KP(HO2)2
2038,,2.14,KPAu5S8
2039,,4.44,KPPbO4
2040,mp-569702,2.08,KPSe3
2041,mp-18625,2.16,KPSe6
2042,,0.64,KRbBi8Se13
2043,mp-14005,0.0,KRuO4
2044,mp-1536,0.9,KSb
2045,mp-1195296,4.64,KSb(SO4)2
2046,,5.4,KSc(SeO3)2
2047,,0.0,KScO3
2048,,1.72,KSi2P3
